GelC13G00541	GO:0005975
GelC13G00541	GO:0004650
GelC13G00544	GO:0005515
GelC13G00552	GO:0003676
GelC13G00552	GO:0008270
GelC13G00553	GO:0009055
GelC13G00554	GO:0016787
GelC13G00554	GO:0070006
GelC13G00557	GO:0016021
GelC13G00557	GO:0016192
GelC13G00558	GO:0006396
GelC13G00561	GO:0006397
GelC13G00561	GO:0003723
GelC13G00561	GO:0005634
GelC13G00561	GO:0003676
GelC13G00562	GO:0005887
GelC13G00562	GO:0055085
GelC13G00572	GO:0016758
GelC13G00576	GO:0008168
GelC13G00578	GO:0055114
GelC13G00578	GO:0016491
GelC13G00583	GO:0046872
GelC13G00584	GO:0008725
GelC13G00584	GO:0003824
GelC13G00584	GO:0006281
GelC13G00584	GO:0006284
GelC13G00586	GO:0015297
GelC13G00586	GO:0042910
GelC13G00586	GO:0016020
GelC13G00586	GO:0055085
GelC13G00587	GO:0046872
GelC13G00587	GO:0005524
GelC13G00590	GO:0016788
GelC13G00591	GO:0005524
GelC13G00591	GO:0009029
GelC13G00591	GO:0009245
GelC13G00595	GO:0016787
GelC13G00597	GO:0003824
GelC13G00598	GO:0005515
GelC13G00600	GO:0008270
GelC13G00617	GO:0003993
GelC13G00617	GO:0016787
GelC13G00617	GO:0046872
GelC13G00618	GO:0005049
GelC13G00619	GO:0042910
GelC13G00619	GO:0055085
GelC13G00619	GO:0015297
GelC13G00619	GO:0016020
GelC13G00621	GO:0006468
GelC13G00621	GO:0004672
GelC13G00621	GO:0005524
GelC13G00622	GO:0016627
GelC13G00622	GO:0016020
GelC13G00623	
GelC13G00624	GO:0003677
GelC13G00623	
GelC13G00624	GO:0046983
GelC13G00625	GO:0005515
GelC13G00626	GO:0005524
GelC13G00626	GO:0004672
GelC13G00626	GO:0006468
GelC13G00626	GO:0004672
GelC13G00626	GO:0006468
GelC13G00626	GO:0005524
GelC13G00627	GO:0003824
GelC13G00627	GO:0019752
GelC13G00627	GO:0004451
GelC13G00633	GO:0005524
GelC13G00633	GO:0006468
GelC13G00633	GO:0004672
GelC13G00637	GO:0005524
GelC13G00637	GO:0006468
GelC13G00637	GO:0004672
GelC13G00638	GO:0003676
GelC13G00640	GO:0008270
GelC13G00640	GO:0005515
GelC13G00641	GO:0006468
GelC13G00641	GO:0004672
GelC13G00641	GO:0005524
GelC13G00644	GO:0046983
GelC13G00645	GO:0003700
GelC13G00645	GO:0043565
GelC13G00645	GO:0006355
GelC13G00648	GO:0009055
GelC13G00653	GO:0008236
GelC13G00653	GO:0006508
GelC13G00657	GO:0004672
GelC13G00657	GO:0006468
GelC13G00657	GO:0007165
GelC13G00657	GO:0005524
GelC13G00665	GO:0046983
GelC13G00667	GO:0003677
GelC13G00668	GO:0006355
GelC13G00668	GO:0003677
GelC13G00675	GO:0003824
GelC13G00675	GO:0016491
GelC13G00675	GO:0071949
GelC13G00675	GO:0019139
GelC13G00675	GO:0009690
GelC13G00675	GO:0050660
GelC13G00675	GO:0055114
GelC13G00678	GO:0031418
GelC13G00678	GO:0055114
GelC13G00678	GO:0016491
GelC13G00678	GO:0016705
GelC13G00678	GO:0005506
GelC13G00683	GO:0006352
GelC13G00683	GO:0005669
GelC13G00685	GO:0003676
GelC13G00686	GO:0005515
GelC13G00688	GO:0022857
GelC13G00688	GO:0055085
GelC13G00688	GO:0016020
GelC13G00689	GO:0042744
GelC13G00689	GO:0006979
GelC13G00689	GO:0055114
