S4_GelataTuber_up	S5_GelataTuber_up	S6_GelataTuber_up	S7_GelataTuber_basal	S8_GelataTuber_basal	S9_GelataTuber_basal
GelC01G00086	4.18235189795264	3.49656188147918	4.17288520274468	2.89779999945515	3.7967275816958	3.9698675548704
GelC01G00087	4.53409750915508	4.62054864982441	4.57009755597689	3.7871529987646	4.63110814125719	4.32042315976518
GelC01G00088	4.72849109945717	5.05626712701244	5.17209627902428	5.35221296938802	5.18859938866036	5.04039860477866
GelC01G00091	5.76261692174915	5.82452769448618	5.98306973664046	6.57162368937978	6.54382834928552	6.24061097740085
GelC01G00092	6.50529072504356	6.33041212309496	6.30411733008384	6.94330264845376	7.05968720489202	6.88896556822994
GelC01G00093	5.6531051228282	5.73448116326563	5.70981565310452	6.21420661922986	5.99723796573184	6.09109131348343
GelC01G00094	3.1976043578422	3.36152275104877	3.47343103296317	3.99849370087345	3.77565288349579	3.95171678317502
GelC01G00095	5.39117673020575	5.49094339242483	5.24640398279766	5.45726656789201	5.39615805010425	5.48731928734817
GelC01G00096	4.76219419988935	4.77732692810352	4.77568701512864	4.51602984575355	4.2275914965157	4.55492024394035
GelC01G00098	8.32085851584246	8.34492113921476	8.34209007040123	8.65115889584614	8.52194884963141	8.3486367202973
GelC01G00100	3.94863972155144	4.08189679115974	4.17288520274468	3.18370461573086	3.61882378659221	3.10714968331248
GelC01G00101	5.19947898919367	5.29733353842167	5.51588327730939	5.04632209144939	5.61957836689467	5.38957586096696
GelC01G00102	1.31645008674829	1.49320586784198	2.06265648045844	0.549374585081523	1.3848055451204	1.64685675980301
GelC01G00106	7.75598061089143	7.82725948119398	7.40619999903176	7.52822034413622	7.24934404764011	7.15200593613353
GelC01G00113	4.55987813438356	4.70106638708998	4.4494499599506	5.45726656789201	5.20445704484733	5.06593595709226
GelC01G00114	3.98715297714469	3.73377036749698	3.99621317591712	2.99952827464535	3.00948610277677	2.69194816560206
GelC01G00115	-2.37359577926673	-2.37359577926673	-0.48864846235804	2.78835072288322	3.41585499065427	2.81753372256837
GelC01G00116	4.45387056486106	3.89893209241918	4.39108708440987	4.86950962332509	4.98332242686286	5.19498873169722
GelC01G00117	3.64573014951447	3.57190682314375	3.83042063635907	3.37251485135209	3.7967275816958	3.71397615014905
GelC01G00119	5.74586872413257	5.66735568766938	6.28821493102558	5.062083966011	5.05504284207471	5.24801129021051
GelC01G00120	4.02466478383492	4.27463495632338	3.93216387766496	4.28034528168416	4.02818491699371	4.24789972148942
